Donor ID,Donor First Name,Donor Last Name,Gender,Phone,Email,State,Has Children,Married,Volunteered before,Engaged with Organization,Own Property,Past served on Board,Employer,Job Area,Salary Estimation,Retired?,Education,Education Area,Active outside Organization,Political Contribution,Donor Age,Joint Mailing Name,Military Affiliate/Veteran,Total Lifetime Donations,2019 Donations,2019 Donations Gave in the Area,2018 Donations,2018 Donations Gave in the Area,2017 Donations,2016 Donations,2015 Donations,2014 Donations,2013 Donations,2012 Donations,2011 Donations,2010 Donations
000-04-3255,Danny,Kelly,Male,8-835-453-4445,Danny_Kelly6509@deavo.com,Vermont,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Speech,Unknown,Unknown,Unknown,Unknown,Unknown,"$4,361",$0,"Arts, Culture & Humanities",$0,Zoos & Aquariums,$0,$0,$0,"$4,361",$0,$0,$0,$0
000-06-5577,Daphne,Whitmore,Female,0-613-687-7372,Daphne_Whitmore6979@bretoux.com,Alaska,FALSE,TRUE,TRUE,TRUE,FALSE,Unknown,Amazon.com,Marketing,"$115,835",Unknown,Graduate school,American Literature,TRUE,FALSE,22,Unknown,Unknown,"$22,057","$6,264",Alliances & Advocacy,$411,Youth Violence Prevention,"$7,840","$4,070",$155,$970,$0,$0,"$1,878",$469
000-11-5314,William,Nobbs,Male,5-210-841-3847,William_Nobbs2669@hourpy.biz,Kentucky,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Management,Unknown,Unknown,Unknown,Accounting,Unknown,Unknown,Unknown,Unknown,Unknown,"$2,853",$0,Management & Technical Assistance,$0,Youth Development Programs,$0,$0,$0,"$2,853",$0,$0,$0,$0
000-13-7832,Ruby,Brennan,Female,5-463-024-3544,Ruby_Brennan2800@nanoff.biz,Colorado,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown,Comodo,Management,"$87,266",Unknown,University-preparatory school,Latin,FALSE,TRUE,39,Unknown,TRUE,"$40,614","$1,761",Professional Societies & Associations,"$1,839",Youth Development N.E.C.,"$8,652","$2,447","$14,867","$7,361",$0,$0,$575,"$3,112"
000-23-7053,Nathan,Gilmore,Unknown,0-806-625-5013,Nathan_Gilmore3982@supunk.biz,Maryland,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,American Literature,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Research Institutes & Public Policy Analysis,$0,Youth Development - Religious Leadership,$0,$0,$0,$0,$0,$0,$0,$0
000-27-1084,Gemma,Irwin,Female,3-255-223-4316,Gemma_Irwin6907@atink.com,Texas,FALSE,FALSE,FALSE,TRUE,TRUE,Unknown,ExxonMobil,Research and Development,"$46,180",Unknown,University-preparatory school,Health,TRUE,TRUE,54,Unknown,Unknown,"$33,341",$413,Single Organization Support,$693,Youth Development - Citizenship,"$3,036",$184,"$7,821","$8,728",$0,$0,"$3,263","$9,203"
000-27-3702,Noah,Flack,Male,2-251-238-6363,Noah_Flack7523@brety.org,South Carolina,FALSE,TRUE,Unknown,TRUE,Unknown,Unknown,Global Print,Operations,Unknown,Unknown,Middle school,Design and technology,Unknown,Unknown,55,Unknown,Unknown,"$16,620","$5,352",Fund Raising & Fund Distribution,$0,Youth Development - Business,$0,"$2,334",$0,"$5,387",$0,$0,"$3,547",$0
000-30-7700,Teagan,Robinson,Female,6-872-060-4202,Teagan_Robinson2060@muall.tech,North Carolina,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Music,Unknown,Unknown,Unknown,Unknown,Unknown,"$9,528",$0,Support N.E.C.,$0,Youth Development - Agricultural,$0,$0,$0,"$9,528",$0,$0,$0,$0
000-31-4068,Chester,Shea,Unknown,Unknown,Chester_Shea1915@infotech44.tech,Oregon,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Earth Science,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Arts & Culture,$0,Youth Development,$0,$0,$0,$0,$0,$0,$0,$0
000-40-7860,Teagan,Simpson,Female,1-403-470-4783,Teagan_Simpson6254@zorer.org,South Carolina,TRUE,FALSE,TRUE,TRUE,FALSE,Unknown,Team Guard SRL,IT,"$67,440",Unknown,High school,Basic Math,FALSE,TRUE,73,Unknown,FALSE,"$36,515","$5,342",Cultural & Ethnic Awareness,"$1,839",Youth Community Service Clubs,"$9,896","$3,153","$3,745",$192,$796,"$3,247","$1,733","$6,572"
