Donor ID,Donor First Name,Donor Last Name,Email,Gender,Phone,Employer,Job Title,Age,Home Address,City,State,Zip,Volunteered in the past, 2019 Gift , 2018 Gift , 2017 Gift , 2016 Gift , 2015 Gift , 2014 Gift , 2013 Gift , 2012 Gift , 2011 Gift 
1,Estrella,Plant,Estrella_Plant9353@nanoff.biz,Female,7-407-761-5587,Team Guard SRL,Food Technologist,45,6736 Udall   Way,Lisbon,Oregon,68770,FALSE," $96,535.60 "," $35,990.85 "," $65,466.67 "," $74,071.05 "," $43,463.61 "," $91,870.99 "," $98,652.49 "," $16,559.39 "," $75,884.58 "
2,Harry,Hooper,Harry_Hooper4978@nimogy.biz,Male,0-383-174-3353,Team Guard SRL,Business Broker,56,6932 Bethwin  Road,Honolulu,Alaska,74240,FALSE," $55,681.79 "," $9,108.68 "," $6,440.71 "," $42,169.22 "," $99,415.06 "," $76,032.01 "," $15,683.99 "," $87,287.97 "," $9,083.66 "
3,Stella,Armstrong,Stella_Armstrong2053@sheye.org,Female,1-788-858-0867,Telekom,Bookkeeper,55,6620 Enford   Boulevard,Columbus,Utah,29863,FALSE,,,,,,,,,
4,Ramon,Overson,Ramon_Overson7782@bulaffy.com,Male,4-332-485-2415,ExxonMobil,Operator,70,8615 Clerkenwell Drive,Fort Lauderdale,Connecticut,74586,FALSE,,,,,,,,,
5,Oliver,Brock,Oliver_Brock5011@deons.tech,Male,5-771-261-1701,UPC,HR Specialist,34,7371 Bury  Crossroad,New York,Oregon,58789,FALSE,,,,,,,,,
6,Faith,Rothwell,Faith_Rothwell4040@ubusive.com,Female,5-067-044-4884,Carrefour,Fabricator,52,8765 South Lane,Omaha,New York,79560,TRUE,,,,,,,,,
7,Chester,Lomax,Chester_Lomax1254@cispeto.com,Male,1-104-685-2304,Zepter,Fabricator,30,7622 Coborn  Rue,Garland,Florida,44899,TRUE,,,,,,,,,
8,Percy,Collis,Percy_Collis9722@supunk.biz,Male,0-113-251-7154,ExxonMobil,Budget Analyst,58,4323 Bliss  Grove,Fremont,Iowa,20364,TRUE,,,,,,,,,
9,Hayden,Newman,Hayden_Newman2119@zorer.org,Male,3-146-562-1831,Global Print,Systems Administrator,32,2516 Monroe Walk,Minneapolis,Connecticut,47742,FALSE,,,,,,,,,
10,Sebastian,Barrett,Sebastian_Barrett5401@ubusive.com,Male,2-535-214-5767,BuzzFeed,Retail Trainee,69,5936 Bendall   Route,Tallahassee,Florida,15851,TRUE,,,,,,,,,
11,Wade,Lindop,Wade_Lindop8399@acrit.org,Male,8-335-702-6062,Demaco,Software Engineer,73,5130 Yoakley Rue,Garland,Colorado,45838,TRUE,,,,,,,,,
12,Lana,Lee,Lana_Lee1689@deons.tech,Female,5-576-018-2463,Mars,Accountant,27,915 Calvin   Hill,St. Louis,Massachussets,94042,TRUE,,,,,,,,,
13,Fred,Vass,Fred_Vass2293@guentu.biz,Male,8-163-821-5737,Boeing,Design Engineer,54,5996 Cheney  Boulevard,San Francisco,South Dakota,95808,TRUE,,,,,,,,,
14,Peter,Brennan,Peter_Brennan5410@joiniaa.com,Male,4-851-658-2074,AECOM,Project Manager,41,8714 Beaconsfield  Alley,Escondido,Connecticut,88649,TRUE,,,,,,,,,
15,George,Ellery,George_Ellery7277@deons.tech,Male,1-665-844-1415,Danone,Service Supervisor,43,7526 Carolina  Vale,Jacksonville,Alabama,19625,TRUE,,," $17,489.99 "," $95,855.82 "," $83,463.68 "," $42,076.67 "," $32,014.91 "," $49,960.00 "," $60,798.48 "
16,Belinda,Durrant,Belinda_Durrant3349@sheye.org,Female,7-387-378-2014,Biolife Grup,HR Specialist,57,922 Calderwood   Avenue,Berna,Arizona,29163,FALSE,,," $69,117.01 "," $65,335.74 "," $21,426.46 "," $23,526.38 "," $83,992.22 "," $49,099.04 "," $41,748.69 "
17,Brooklyn,Knight,Brooklyn_Knight9841@twace.org,Female,4-116-605-0332,ExxonMobil,Assistant Buyer,25,8362 West Walk,Prague,Colorado,45635,FALSE,,," $81,297.47 ",,," $50,199.52 ",,," $3,700.27 "
18,Johnathan,Raven,Johnathan_Raven3881@hourpy.biz,Male,3-130-626-5783,21st Century Fox,Software Engineer,34,8470 Cleaver Drive,El Paso,Montana,93641,TRUE,,," $53,257.33 ",,," $95,443.27 ",,," $13,223.68 "
19,Peter,Nobbs,Peter_Nobbs8908@eirey.tech,Male,4-337-178-4438,Mars,Production Painter,43,8567 Jackson Grove,Lancaster,Massachussets,64943,FALSE,,," $29,834.44 ",,," $35,785.59 ",,," $35,668.73 "
20,Noah,Maxwell,Noah_Maxwell7788@muall.tech,Male,8-045-485-7510,Metro Cash&Carry,HR Specialist,51,1727 Antrobus   Tunnel,Hayward,Arizona,70750,FALSE,,," $71,252.75 ",,," $95,071.43 ",,," $70,673.67 "
21,Stephanie,Allen,Stephanie_Allen6294@deavo.com,Female,0-666-848-6837,BuzzFeed,Pharmacist,53,6810 Angrave    Rue,Santa Ana,Montana,65540,TRUE,,," $61,231.43 ",,," $25,194.53 ",,," $16,942.34 "
